Sr.No.,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,y
269,28,admin.,married,secondary,no,242,yes,no,unknown,17,sep,47,1,no
270,43,management,single,tertiary,no,2048,yes,no,cellular,5,aug,155,1,no
271,62,retired,married,secondary,no,13,no,no,telephone,28,aug,36,1,no
272,25,admin.,single,secondary,no,0,no,yes,cellular,8,jul,238,3,no
273,31,admin.,single,secondary,no,3950,yes,no,cellular,21,nov,529,1,yes
274,35,management,married,tertiary,no,3217,yes,yes,cellular,17,apr,215,1,no
275,36,technician,married,secondary,no,361,no,no,cellular,6,aug,188,4,no
276,34,services,single,secondary,no,2,yes,no,cellular,15,may,153,2,yes
277,76,management,married,unknown,no,1780,yes,no,telephone,23,apr,413,3,yes
278,51,services,divorced,secondary,no,65,no,yes,cellular,15,jul,881,1,yes
279,32,blue-collar,married,secondary,no,112,yes,no,cellular,20,apr,311,1,no
280,68,retired,married,tertiary,no,2812,no,no,cellular,4,aug,651,1,yes
281,34,blue-collar,married,secondary,no,291,yes,no,unknown,6,jun,111,5,no
282,40,blue-collar,single,secondary,no,3571,yes,no,cellular,10,jul,262,1,no
283,39,services,married,secondary,no,20928,no,no,cellular,14,may,1166,1,no
284,31,technician,divorced,secondary,no,431,yes,yes,cellular,18,aug,75,2,no
285,39,admin.,single,secondary,no,0,no,yes,unknown,19,jun,142,1,no
286,50,self-employed,married,secondary,no,10052,no,no,cellular,13,aug,665,2,yes
287,55,blue-collar,divorced,secondary,no,-152,yes,no,cellular,7,may,36,3,no
288,52,blue-collar,divorced,secondary,no,306,yes,no,unknown,26,may,63,3,no
289,21,student,single,unknown,no,330,no,no,cellular,19,apr,232,3,no
290,33,blue-collar,single,secondary,no,231,yes,no,unknown,2,jun,466,1,no
291,41,management,married,tertiary,no,527,no,no,cellular,22,aug,96,1,no
292,28,blue-collar,married,secondary,no,224,yes,no,unknown,19,may,571,5,no
293,47,management,married,tertiary,no,1122,no,no,cellular,24,dec,956,1,no
294,31,management,single,secondary,yes,20,yes,no,cellular,28,jul,141,5,no
295,32,services,married,secondary,no,580,yes,no,cellular,30,apr,69,1,no
296,41,housemaid,divorced,primary,no,9059,no,no,unknown,6,jun,113,1,no
297,38,management,single,tertiary,no,900,yes,no,unknown,2,jun,156,1,no
298,39,management,married,tertiary,no,1090,yes,no,cellular,14,may,11,5,no
299,25,student,single,secondary,no,3713,no,no,cellular,24,may,323,2,yes
300,45,blue-collar,married,secondary,no,-183,yes,yes,cellular,28,aug,8,13,no
301,51,self-employed,married,primary,no,106,yes,no,telephone,31,jul,240,2,no
302,30,technician,married,tertiary,no,14355,no,no,cellular,7,aug,244,2,no
303,34,technician,married,tertiary,no,2069,no,no,cellular,20,aug,328,2,no
304,46,services,married,secondary,no,561,yes,no,cellular,9,feb,84,4,no
305,46,management,married,tertiary,no,0,no,no,cellular,27,aug,121,2,no
306,51,technician,divorced,tertiary,no,0,no,no,cellular,28,aug,84,7,no
307,35,management,married,tertiary,no,126,no,yes,cellular,7,jul,371,2,no
308,34,management,married,tertiary,no,2374,yes,yes,cellular,18,jun,270,2,yes
309,37,management,married,tertiary,no,751,yes,no,cellular,2,feb,186,4,no
310,40,management,married,tertiary,no,0,yes,no,cellular,25,mar,506,2,yes
311,58,retired,divorced,primary,no,2538,yes,no,cellular,19,nov,680,2,yes
312,52,technician,married,unknown,no,7,no,no,unknown,6,may,203,2,no
313,50,blue-collar,married,secondary,no,2087,yes,no,unknown,14,may,371,1,no
314,42,admin.,married,secondary,no,1279,yes,no,cellular,17,jul,50,1,no
315,30,self-employed,single,tertiary,no,655,no,no,cellular,23,sep,272,4,yes
316,49,management,married,tertiary,no,85,yes,no,cellular,14,may,590,5,yes
317,38,blue-collar,divorced,secondary,no,2998,yes,no,unknown,11,jun,91,1,no
318,40,blue-collar,divorced,primary,yes,0,yes,no,telephone,21,nov,333,3,no
319,35,services,single,primary,no,167,no,yes,cellular,11,jul,614,2,yes
320,30,management,single,tertiary,no,443,yes,yes,cellular,12,aug,80,2,no
321,29,management,married,tertiary,no,-6,yes,no,unknown,9,may,324,1,no
322,48,management,married,tertiary,no,0,yes,no,cellular,26,aug,204,2,no
323,42,self-employed,married,secondary,no,68,no,no,cellular,14,aug,314,2,no
324,28,blue-collar,married,secondary,no,61,yes,no,cellular,11,feb,253,1,yes
325,56,technician,divorced,secondary,no,146,yes,no,cellular,5,aug,419,3,yes
326,57,self-employed,married,tertiary,no,350,no,no,cellular,26,may,132,6,no
327,58,retired,married,unknown,no,9004,no,no,cellular,21,jul,891,4,yes
328,36,blue-collar,single,unknown,no,185,yes,yes,cellular,17,apr,301,2,no
329,34,admin.,married,secondary,no,75,yes,yes,cellular,25,may,111,1,no
330,26,admin.,married,secondary,no,1595,no,no,cellular,2,mar,54,1,no
331,49,housemaid,married,primary,no,278,yes,no,telephone,15,jul,112,6,no
332,37,management,single,tertiary,no,698,no,no,cellular,8,sep,1081,2,yes
333,34,admin.,married,secondary,no,-549,yes,yes,unknown,27,may,405,1,no
334,58,entrepreneur,married,tertiary,no,925,yes,no,cellular,21,nov,65,1,no
335,42,technician,divorced,secondary,no,37,no,no,cellular,28,aug,28,16,no
336,36,technician,married,tertiary,no,183,yes,no,unknown,16,may,360,1,no
337,59,retired,married,secondary,no,1896,no,no,telephone,20,nov,134,9,no
338,45,admin.,married,secondary,yes,-571,no,no,cellular,13,aug,332,2,no
339,37,management,married,tertiary,no,0,yes,no,cellular,14,jul,122,2,no
340,45,blue-collar,married,secondary,no,1964,yes,no,unknown,30,may,78,1,no
341,37,admin.,married,secondary,no,5132,no,no,cellular,31,jul,536,8,no
342,52,services,married,secondary,no,2257,yes,no,telephone,18,nov,102,2,no
343,56,management,married,tertiary,no,-45,yes,no,unknown,30,may,116,6,no
344,38,technician,single,secondary,no,1130,no,no,cellular,4,jun,96,2,yes
345,60,technician,married,secondary,no,1740,no,no,cellular,1,jun,814,1,no
346,34,technician,single,secondary,no,827,yes,no,cellular,6,may,254,1,no
347,26,blue-collar,married,secondary,no,1702,yes,yes,cellular,18,may,21,1,no
348,48,unemployed,married,secondary,no,293,yes,no,unknown,5,may,243,1,no
349,30,entrepreneur,married,secondary,no,-346,yes,yes,cellular,22,jul,88,1,no
350,36,blue-collar,married,secondary,no,0,no,no,cellular,4,feb,235,1,no
351,41,entrepreneur,married,secondary,no,2480,yes,no,unknown,11,jun,394,2,no
352,35,admin.,married,secondary,no,214,yes,yes,unknown,5,jun,247,1,no
353,26,services,single,secondary,no,81,yes,no,cellular,28,jul,63,2,no
354,30,blue-collar,married,primary,no,5956,yes,yes,cellular,20,nov,405,1,no
355,32,blue-collar,single,primary,no,36,yes,no,cellular,20,nov,290,2,no
356,31,management,married,tertiary,no,81,yes,no,cellular,29,oct,164,2,yes
357,53,technician,single,primary,no,481,no,no,cellular,18,nov,399,1,no
358,30,services,single,secondary,no,62,yes,no,cellular,21,nov,76,1,no
359,39,unemployed,married,primary,no,408,yes,no,unknown,6,may,53,1,no
360,37,management,married,tertiary,no,-120,yes,no,unknown,9,may,77,2,no
361,39,admin.,divorced,secondary,no,43,yes,no,cellular,4,feb,108,1,no
362,30,technician,married,secondary,no,-306,yes,yes,cellular,18,nov,372,1,no
363,38,services,married,secondary,no,5293,yes,no,cellular,11,may,475,1,yes
